#,query,label
1,哪个号码是重庆南城大道营业厅的,重庆南城大道营业部的联系方式
2,纸质对账单可否通过电话开通,纸质对账单开通流程
3,运营总监可以使用什么权限,运营总监权限包括哪些权限
4,作为运营总监，权限应该挺多的吧,运营总监权限包括哪些权限
5,运营总监有没有本事查到股民的开户信息,运营总监权限包括哪些权限
6,我想查我办过的所有业务找运营总监有没有用,运营总监权限包括哪些权限
7,预约信息查询菜单可以用哪些条件进行筛选,预约信息查询菜单可以筛选查询哪些内容
8,预约信息查询菜单的筛选条件有哪些,预约信息查询菜单可以筛选查询哪些内容
9,预约信息查询菜单能查我的预约编号吗,预约信息查询菜单可以查询哪些内容
10,预约信息查询菜单可以查询经纪人叫什么吗,预约信息查询菜单可以查询哪些内容
11,我能在手机应用商城找到玉如翼下下来吗,玉如翼手机交易软件下载方法
12,玉如翼iPhone版怎么下载,玉如翼手机交易软件下载方法
13,上哪个网站可以把玉如翼下到手机上,玉如翼手机交易软件下载方法
14,营业厅权限申请要走的流程都要哪些,营业部权限申请的操作步骤
15,取得营业部权限的流程,营业部权限申请的操作步骤
16,怎么申请营业部的权限,营业部权限如何申请
17,营业部的角色分配是如何进行的,营业部权限如何申请
18,上海证券怎么统计开户绑定客户明细情况,营业部开户绑定统计客户明细情况如何查询
19,上海证券怎么统计开户绑定客户汇总情况,营业部开户绑定统计客户汇总情况如何查询
20,营业部开户绑定人数可以在哪里进行查询,营业部开户绑定统计客户汇总情况如何查询
21,营业厅经理都是怎么进行审批的,营业部经理审批的操作步骤
22,营业部经理如何进行审批,营业部经理审批的操作步骤
23,营业部几点就下班了,营业部办公时间
24,营业厅的工作时间很短吗,营业部办公时间
25,参与心安增利缴费是怎么规定的,心安增利收费规则
26,在心安增利交易要收取哪些费用,心安增利收费规则
27,心安增利的缴费规定,心安增利收费规则
28,心安增利收费标准是什么,心安增利收费规则
29,我想看下申请心安增利的进度,心安增利参与申请查询
30,申请参与心安增利的结果在哪里查,心安增利参与申请查询
31,现金添利退出金额包不包含当期收益,现金添利退出金额的计算方法
32,不参与现金添利之后会退给我多少钱,现金添利退出金额的计算方法
33,现金添利退出会给我退多少钱,现金添利退出金额的计算方法
34,退出现金添利之后实际拿到的钱是怎么算的,现金添利退出金额的计算方法
35,想要开始交易B股要怎么办,我想交易B股
36,补寄电子账单不成功,为什么不让我申请补寄电子对账单
37,为啥不能申请之前的电子账单,为什么不让我申请补寄电子对账单
38,微信菜单都能查什么信息,微信菜单能够查询哪些内容
39,公众号的菜单上都有些什么,微信菜单能够查询哪些内容
40,什么是网络投票,网络投票的含义
41,为什么要进行网络投票,网络投票的含义
42,那些权限市场总监都有,市场总监权限包括哪些权限
43,市场总监权限都包括什么,市场总监权限包括哪些权限
44,最优五档即时成交剩余转限价申报价格是怎样的,什么是最优五档即时成交剩余转限价申报
45,最优五档即时成交剩余转限价申报怎么成交,什么是最优五档即时成交剩余转限价申报
46,最优五档即时成交剩余撤销申报怎么撤销,什么是最优五档即时成交剩余撤销申报
47,转增股票是指送给我的股票吗,什么是转增股票
48,那种股票叫做转增股票,什么是转增股票
49,是怎么限制涨幅的,什么是涨跌幅限制
50,股票涨幅最多达到多少,什么是涨跌幅限制
51,涨幅限制是多少,什么是涨跌幅限制
52,股票价格的涨跌幅有限制么,什么是涨跌幅限制
53,股价涨停板是涨了多少,什么是涨(跌)停板
54,跌停板是什么情况,什么是涨(跌)停板
55,心安增利是一种怎样的投资产品,什么是心安增利
56,限价委托是怎么回事,什么是限价委托
57,限价委托是啥意思,什么是限价委托
58,现金添利是一款理财产品吗,什么是现金添利
59,股票交易中的停牌说的是什么,什么是停牌
60,股票暂停交易是不是就是停牌了,什么是停牌
61,特征码绑定未指定的电脑不能登录吗,什么是特征码绑定
62,开通特征码绑定后如何登录,什么是特征码绑定
63,收盘价用什么方式产生,什么是收盘价
64,当日无成交的，收盘价是前一天的收盘价吗,什么是收盘价
65,市价委托的成交规则,什么是市价委托
66,市价委托按什么价格成交,什么是市价委托
67,股票成交时间的先后顺序,什么是时间优先原则
68,买股票时间优先是先申报的先成交吗,什么是时间优先原则
69,融券保证金比例是保证金比去融券卖出证券数量吗,什么是融券保证金比例
70,融券的保证金是怎么算出来的,什么是融券保证金比例
71,融券保证金比例是保证金比去融资买入证券数量吗,什么是融券保证金比例
72,我融券卖出时交付的保证金与融券交易金额的比例怎么个算法,什么是融券保证金比例
73,零股是多少股,什么是零股
74,为什么会产生零股,什么是零股
75,连续竞价的竞价方式是怎样的,什么是连续竞价
76,连续竞价是采用什么方式竞价,什么是连续竞价
77,开市后一直没成交，开盘价怎么看,什么是开盘价
78,股票第二天的开盘价是前一天的收盘价吗,什么是开盘价
79,你知道君系列产品吗,什么是君系列产品
80,"股票的成交时买入价高于卖出价,成交价按买入价还是按卖出价呢",什么是价格优先原则
81,价格优先是价高的先成交吗,什么是价格优先原则
82,集合竞价是什么竞价方式,什么是集合竞价
83,集合竞价是怎么样申报的,什么是集合竞价
84,除权除息日日期是怎么界定的,什么是基金除息日
85,除权除息日是哪天,什么是基金除息日
86,基金除息日是干什么的,什么是基金除息日
87,股息差别税的先进先出原则是什么意思,什么是股息差别税的先进先出原则
88,怎么理解股息差别税的先进先出,什么是股息差别税的先进先出原则
89,什么叫先进先出,什么是股息差别税的先进先出原则
90,分级基金和普通基金的区别在哪里,什么是分级基金
91,分级基金是一个什么样的基金,什么是分级基金
92,对手方最优价格申报是什么价格成交的,什么是对手方最优价格申报
93,在其他券商开过股东账号怎么登记到你们这里,什么是登记股东账号
94,报价回购业务是什么,什么是报价回购
95,保证金可用余额具体是干嘛的,什么是保证金可用余额
96,T+1交收的股票能当天就卖了吗,什么是T+1交收制度
97,T+1交收要注意什么,什么是T+1交收制度
98,能具体解释下什么叫做A股吗,什么是A股
99,A股是一支怎么样的股票,什么是A股
100,封转开是什么意思,什么是“封转开”
101,封闭式基金转开放式基金是什么,什么是“封转开”
102,转签是不是和创业板有关的业务,什么叫“转签”
103,能解释下转签是怎么回事吗,什么叫“转签”
104,我不太懂转签的意思,什么叫“转签”
105,转签是什么操作啊,什么叫“转签”
106,深圳南山后海大道营业部的门牌号是多少,深圳南山后海大道营业部的联系方式
107,深圳南山大道营业部具体在哪条路上,深圳南山大道营业部的联系方式
108,我没找到深圳福虹路营业部,深圳福虹路营业部的联系方式
109,深B股票代码是多少,深B股票代码是什么
110,以几开头的是深B股票,深B股票代码是什么
111,莘庄营业部是在莘西路上的几号,莘庄营业部的联系方式
112,莘砖公路营业部的具体地址是,莘砖公路营业部的联系方式
113,查下绍兴新昌人民西路营业部的电话号码是多少,绍兴新昌人民西路营业部的联系方式
114,你们的微信公众号不用收费的吧,上海证券微信公众号/订阅号是否收费
115,上海证券微信公众号是怎么收费的,上海证券微信公众号/订阅号是否收费
116,上海证券微信订阅号要钱吗,上海证券微信公众号/订阅号是否收费
117,微信公众号上面的都是不要钱的吗,上海证券微信公众号/订阅号是否收费
118,我手机上用的指e通要收我钱吗,上海证券交易软件是否收费
119,你们提供的交易软件都是不扣钱的吧,上海证券交易软件是否收费
120,安装客户端收费吗,上海证券交易软件是否收费
121,要是通过上海证券的电话进行委托，那应该挺简单的吧,上海证券电话委托流程
122,上海证券电话委托要走的流程会很多吗,上海证券电话委托流程
123,这三板B股是按t+1的原则进行交易的吗,三板B股交收规则
124,交易三板B股的要遵守的规定,三板B股交收规则
125,三板B股交易有什么规定,三板B股交收规则
126,三板b股的也是按照当日买入次日卖出的原则来的吗,三板B股交收规则
127,融资融券对账单邮箱要怎么换,如何修改融资融券对账单的邮箱
128,我想把融资融券对账单接收的邮箱地址换成别的,如何修改融资融券对账单的邮箱
129,融资融券对账单的邮箱要怎么改啊,如何修改融资融券对账单的邮箱
130,融资融券对账单的邮箱要改下,如何修改融资融券对账单的邮箱
131,纸的对账单我没有收到能不能给我再寄一份,如何申请补寄纸质对账单
132,我要你们再寄给我纸质账单,如何申请补寄纸质对账单
133,你们公司有补寄纸质对账单的业务吗,如何申请补寄纸质对账单
134,这个月没有收到纸质的对账单怎么才能重新寄,如何申请补寄纸质对账单
135,收纸质账单不太方便，想取消,如何取消纸质对账单
136,纸质账单特别不方便还不安全我不想要了,如何取消纸质对账单
137,打客服电话能帮忙取消纸质对账单吗,如何取消纸质对账单
138,不要再寄纸质账单给我了,如何取消纸质对账单
139,怎么在B股开户,如何开通B股
140,我想要B股的交易权限应该怎么做,如何开通B股
141,B股要怎么开通啊,如何开通B股
142,开通B股账户要进行什么操作,如何开通B股
143,怎么看我的转增股是不是到账了,如何查询转增股是否到账
144,怎么在我的软件上查询转增股的情况,如何查询转增股是否到账
145,转增股有没有到账要怎么查啊,如何查询转增股是否到账
146,转增股有没有到账需要去营业厅查吗,如何查询转增股是否到账
